"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid"
"cries in android","0","0","2023-10-22T12:53:24.000Z","nina.gabrielle","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7223222662578619397","7292765105472193298"
"Downloading rn.","1","0","2023-10-22T12:51:59.000Z","silabakri99","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6918778422748103682","7292764756946125575"
"How did u make it?","0","0","2023-10-22T12:17:31.000Z","saraalskar","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7152907254043509765","7292755761280860960"
"I want this but I feel like my friends wouldn’t want to download ittt🥲","0","1","2023-10-22T12:16:34.000Z","imma_gekota","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6682685085680141318","7292755614491984658"
"you should make an option to change the purple color!! just like twitter blue users can do, so that the experience is more personal to everyone and +","0","1","2023-10-22T12:13:50.000Z","pablminaj","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","172240523494129664","7292754860242928416"
"Downloading","1","0","2023-10-22T11:36:35.000Z","missdaik","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7125781556618658821","7292745293072892674"
"I can’t download it 🥲","1","2","2023-10-22T10:54:34.000Z","kaizen_tkz","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6721569204690895877","7292734479670477574"
"So I am the only one who sees my posts??","2","2","2023-10-22T10:29:02.000Z","imagineeno","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6759916770611774469","7292727861395325701"
"I value your thought and approach so much 🔥","1","0","2023-10-22T09:06:51.000Z","dailydoseofhappiness23","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6774618581584102406","7292706724845421320"
"@Jasmin_ramos321 this is amazing","1","0","2023-10-21T23:52:24.000Z","vivi_ramos_","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6800383506260706310","7292563761006756654"
"Crying in Brazilian 😢","411","13","2023-10-22T12:36:42.000Z","florizzis","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6772138255228945413","7292760795388347141"
"It is available globally!Click on our profile and click link in bio! Or search on the App Store “Moment: preserve”","1",,"2023-10-22T20:56:06.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292889443689300778"
"so other people will be seeing my content? cause I logged in and I'm seeing other people's content","0",,"2023-10-23T15:48:00.000Z","hi_itismeagain","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7159771072857129990","7293181148821668614"
"please add the app store link to your linktree 🙏","0",,"2023-10-23T15:48:24.000Z","hi_itismeagain","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7159771072857129990","7293181254748324613"
"It is! Click on our profile and click link in bio! Or search on the App Store “Moment: preserve”","1",,"2023-10-22T20:56:13.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292889450267689774"
"Share a moment with them and find out 😉","0",,"2023-10-22T20:56:36.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292889583690564394"
"+ ir can be more aesthetically pleasing to each one of the users, also. it would be amazing if the typography was the same as iphone has","0",,"2023-10-22T12:14:26.000Z","pablminaj","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","172240523494129664","7292754998059696928"
"Click on our profile and click link in bio! Or search on the App Store “Moment: preserve”","0",,"2023-10-22T20:57:14.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292889703310803758"
"Got it! 🤭🤭","0",,"2023-10-23T06:13:24.000Z","kaizen_tkz","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6721569204690895877","7293033097628025605"
"Or whoever you share each moment with","1",,"2023-10-22T20:57:30.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292889827065250603"
"already downloaded!!","0",,"2023-10-22T21:11:51.000Z","imagineeno","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6759916770611774469","7292893509962498822"
"amg da para baixar aqui no brasillll, tem o link na bio do insta dela, é só no número mudar a bandeira","16",,"2023-10-22T13:30:41.000Z","issadaora","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6659864775198195717","7292774696654422789"
"só tem pra Apple","11",,"2023-10-22T15:16:13.000Z","kartoffeln62","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6782996258740552710","7292801916776645382"
"Pode postar o link aqui? E.. mudar a bandeira onde? 🤔","0",,"2023-10-22T16:54:08.000Z","lndtkd","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6612509817884049410","7292827128851759878"
"crying in my android life 🥲","94","1","2023-10-22T15:14:17.000Z","yayanovello","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","96240465494061056","7292801400357946118"
"@Lina gibts einfach bei uns noch nicht aber fänds nice","31","6","2023-10-20T11:37:58.000Z","geraldine.mueller","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","174764572938051584","7292003374634943265"
"Pleeeease make it available in Brasil pls pls pls","82","1","2023-10-22T16:18:36.000Z","juliaromanholi","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6811100452379231237","7292817981212754694"
"Comentando pro algoritmo me avisar quando tiver disponível pra Android","24","1","2023-10-22T19:45:42.000Z","hlenaladeira","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7092405454630863878","7292871323985167109"
"Es lo que estaba buscándooo","5","0","2023-10-22T20:40:17.000Z","eternalwindtea","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6842017909503624198","7292885374477026054"
"Esiste già si chiama galleria","15","0","2023-10-22T12:58:08.000Z","lufgdr","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6810708238474363910","7292766241604797217"
"No se puede :c 🇨🇱","43","3","2023-10-22T15:56:18.000Z","lailumi.naty","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6538852550706222080","7292812236672811781"
"lo necesito pa android","9","1","2023-10-22T16:40:47.000Z","vulcanx0","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7049145453249889286","7292823706668139269"
"Scaricataaa💪🏼🥰","35","5","2023-10-20T12:22:26.000Z","_gp080","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","135414024074117120","7292014874933068577"
"Se parece al concepto de BeReal no?","7","1","2023-10-23T02:27:30.000Z","nov88_1","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7171996063421809669","7292974871469327109"
"No está para Peru 🇵🇪😔","0","0","2023-10-30T03:55:31.000Z","salchipapaconpatitas","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7088280284428305413","7295595083759878918"
"Adoreiiiii","0","0","2023-10-26T01:36:54.000Z","brunanarcizo3","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6762513803822416902","7294075090101289733"
"@Ash yo hice uno ya jajaja a ver que pex","1","1","2023-10-25T00:38:01.000Z","emelin.duque","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6622732708248600582","7293688807277822725"
"brazil???","0","0","2023-10-24T22:15:25.000Z","mavinaosei","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6846936246020375558","7293652047177499397"
"@Peppa Prase @Dunja munja alo ovo je top","1","0","2023-10-24T14:37:31.000Z","nevenablanusa_","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7041139701201339398","7293534098264507141"
"yo solo quiero la interfaz del ig de antes 😔","0","0","2023-10-24T14:22:22.000Z","browcon","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6899814320298853377","7293530179038118661"
"me etiquetan cuando este para android","0","0","2023-10-23T23:21:10.000Z","newromanticsfa","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6908126649029854214","7293297914541032198"
"Amando.","0","0","2023-10-23T18:06:06.000Z","anasofiaggzg","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","126512171873746944","7293216788962099973"
"Latam🥺?","0","0","2023-10-23T16:50:07.000Z","mbelenral","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6804522721285391366","7293197175701701382"
"Just downloaded ❤️","0","0","2023-10-23T15:03:05.000Z","omundodaayres","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7191663216571778053","7293169618590434054"
"Take that Zuckerberg 😎 I hated Instagram anyways. The idea of a “finsta” was created because so many people felt insecure about posting on their page. That app is too toxic now. That’s why we created a safe space for you to document your memories and share them with select people (without judgement and randos seeing them).  Like you should be able to rememeber every small moment in your life that made you happy. Sometimes if we never snap a pic, we’ll forget about it…or it will get lost in our photos.  We hope Moment helps you romanticize your life and make life feel like your own movie with seasons and characters. You can download it rn!","236400",,"2023-10-19T23:08:43.000Z",,,,
"Se algum br tiver me add amizades dailycarol 🤝","0","0","2023-10-23T12:22:56.000Z","carolinasfernanda","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6681977610275062790","7293128333360874245"
